Country,Total,Rank,Year
Somalia,111.89999999999999,1st,2023
Yemen,108.89999999999999,2nd,2023
South Sudan,108.50000000000001,3rd,2023
Congo Democratic Republic,107.19999999999997,4th,2023
Syria,107.10000000000001,5th,2023
Afghanistan,106.60000000000001,6th,2023
Sudan,106.19999999999999,7th,2023
Central African Republic,105.70000000000002,8th,2023
Chad,104.60000000000001,9th,2023
Haiti,102.89999999999999,10th,2023
Ethiopia,100.39999999999999,11th,2023
Myanmar,100.19999999999997,12th,2023
Mali,99.5,13th,2023
Guinea,98.50000000000001,14th,2023
Nigeria,97.99999999999999,15th,2023
Zimbabwe,96.9,16th,2023
Libya,96.1,17th,2023
Ukraine,95.89999999999999,18th,2023
Eritrea,94.49999999999999,19th,2023
Burundi,94.19999999999999,20th,2023
Burkina Faso,94.00000000000001,21st,2023
Mozambique,94.0,22nd,2023
Cameroon,93.99999999999999,23rd,2023
Niger,93.39999999999999,24th,2023
Lebanon,91.79999999999998,25th,2023
Uganda,91.5,26th,2023
Iraq,91.39999999999999,27th,2023
Congo Republic,90.7,28th,2023
Venezuela,90.5,29th,2023
Sri Lanka,90.30000000000001,30th,2023
Guinea Bissau,89.90000000000002,31st,2023
Pakistan,89.89999999999999,32nd,2023
Liberia,88.89999999999999,33rd,2023
Palestine,87.9,34th,2023
Kenya,87.8,35th,2023
Cote d'Ivoire,87.10000000000001,36th,2023
Mauritania,87.0,37th,2023
North Korea,87.0,38th,2023
Angola,86.9,39th,2023
Iran,85.39999999999999,40th,2023
Bangladesh,85.19999999999999,41st,2023
Equatorial Guinea,84.4,42nd,2023
Malawi,83.2,43rd,2023
Rwanda,82.30000000000001,44th,2023
Comoros,82.2,45th,2023
Djibouti,82.19999999999999,46th,2023
Togo,82.1,47th,2023
Zambia,81.8,48th,2023
Madagascar,81.7,49th,2023
Egypt,81.6,50th,2023
Sierra Leone,81.39999999999999,51st,2023
Turkey,81.19999999999999,52nd,2023
Russia,80.7,53rd,2023
Cambodia,80.30000000000001,54th,2023
Nepal,80.2,55th,2023
Solomon Islands,79.60000000000001,56th,2023
Honduras,79.6,57th,2023
Swaziland,79.1,58th,2023
Colombia,78.1,59th,2023
Papua New Guinea,78.1,60th,2023
Philippines,77.8,61st,2023
Nicaragua,77.7,62nd,2023
Timor-Leste,77.5,63rd,2023
Guatemala,77.3,64th,2023
Tanzania,76.6,65th,2023
Lesotho,76.3,66th,2023
Gambia,76.10000000000001,67th,2023
Jordan,75.7,68th,2023
Kyrgyz Republic,75.60000000000001,69th,2023
